6175 0.190941  0.161408  0.200693 0.190735 0.166992 0.202393
6176 0.190921  0.161560  0.200725 0.190826 0.166504 0.204590
6177 0.190898  0.161820  0.200642 0.190796 0.165039 0.202393
6178 0.190875  0.162194  0.200464 0.190796 0.167480 0.203613
6179 0.190853  0.162671  0.200227 0.190765 0.166016 0.205078
6180 0.190836  0.163223  0.199972 0.190796 0.166504 0.204346
6181 0.190827  0.163809  0.199743 0.190765 0.166992 0.204346
6182 0.190827  0.164372  0.199580 0.190704 0.166992 0.203613
6183 0.190837  0.164848  0.199510 0.190796 0.166016 0.203125
6184 0.190856  0.165170  0.199541 0.190826 0.164551 0.204346
6185 0.190880  0.165279  0.199665 0.190918 0.165527 0.204102
6186 0.190907  0.165125  0.199847 0.190979 0.165527 0.203369
6187 0.190932  0.164681  0.200035 0.191010 0.165527 0.206299
6188 0.190951  0.163947  0.200159 0.191071 0.165527 0.204346
6189 0.190964  0.162953  0.200141 0.191223 0.165039 0.202881
6190 0.190972  0.161762  0.199901 0.191193 0.165039 0.205811
6191 0.190980  0.160465  0.199367 0.191284 0.164551 0.204346
6192 0.190997  0.159183  0.198486 0.191376 0.165039 0.201416
6193 0.191036  0.158052  0.197231 0.191528 0.164551 0.201172
6194 0.191108  0.157218  0.195609 0.191559 0.164551 0.199707
6195 0.191225  0.156821  0.193665 0.191833 0.165039 0.197266
6196 0.191398  0.156984  0.191479 0.191925 0.164551 0.196289
6197 0.191629  0.157804  0.189169 0.192017 0.165039 0.193604
6198 0.191916  0.159334  0.186876 0.192200 0.168457 0.191406
6199 0.192248  0.161584  0.184761 0.192291 0.167969 0.187988
6200 0.192608  0.164513  0.182987 0.192444 0.169922 0.184814
6201 0.192971  0.168030  0.181707 0.192505 0.171875 0.185059
6202 0.193311  0.171995  0.181048 0.192688 0.174805 0.185059
6203 0.193600  0.176234  0.181100 0.192657 0.172852 0.185547
6204 0.193813  0.180541  0.181906 0.192963 0.177734 0.186523
