# l[4]( l_4(t) ) connection: point2-point5
n t l_4(t)
252 0.630000 1.000000019036
253 0.632500 1.000000020359
254 0.635000 1.000000021790
255 0.637500 1.000000023322
256 0.640000 1.000000024947
257 0.642500 1.000000026650
258 0.645000 1.000000028408
259 0.647500 1.000000030194
260 0.650000 1.000000031969
261 0.652500 1.000000033691
262 0.655000 1.000000035314
263 0.657500 1.000000036783
264 0.660000 1.000000038047
265 0.662500 1.000000039051
266 0.665000 1.000000039742
267 0.667500 1.000000040066
268 0.670000 1.000000039969
269 0.672500 1.000000039400
270 0.675000 1.000000038303
271 0.677500 1.000000036627
272 0.680000 1.000000034328
273 0.682500 1.000000031376
274 0.685000 1.000000027753
275 0.687500 1.000000023451
276 0.690000 1.000000018475
277 0.692500 1.000000012834
278 0.695000 1.000000006545
279 0.697500 0.999999999637
280 0.700000 0.999999992149
281 0.702500 0.999999984130
282 0.705000 0.999999975643
283 0.707500 0.999999966757
284 0.710000 0.999999957552
285 0.712500 0.999999948112
286 0.715000 0.999999938531
287 0.717500 0.999999928911
288 0.720000 0.999999919358
289 0.722500 0.999999909982
290 0.725000 0.999999900893
291 0.727500 0.999999892200
292 0.730000 0.999999884011
293 0.732500 0.999999876436
294 0.735000 0.999999869582
295 0.737500 0.999999863556
296 0.740000 0.999999858463
297 0.742500 0.999999854402
298 0.745000 0.999999851469
299 0.747500 0.999999849752
300 0.750000 0.999999849332
301 0.752500 0.999999850276
302 0.755000 0.999999852638
303 0.757500 0.999999856456
304 0.760000 0.999999861752
305 0.762500 0.999999868533
306 0.765000 0.999999876786
307 0.767500 0.999999886487
308 0.770000 0.999999897593
309 0.772500 0.999999910041
310 0.775000 0.999999923751
311 0.777500 0.999999938625
312 0.780000 0.999999954549
313 0.782500 0.999999971395
314 0.785000 0.999999989019
315 0.787500 1.000000007260
316 0.790000 1.000000025944
317 0.792500 1.000000044888
318 0.795000 1.000000063908
319 0.797500 1.000000082813
320 0.800000 1.000000101416
321 0.802500 1.000000119527
322 0.805000 1.000000136963
323 0.807500 1.000000153548
324 0.810000 1.000000169113
325 0.812500 1.000000183504
326 0.815000 1.000000196573
327 0.817500 1.000000208179
328 0.820000 1.000000218194
329 0.822500 1.000000226508
330 0.825000 1.000000233034
331 0.827500 1.000000237701
332 0.830000 1.000000240465
333 0.832500 1.000000241308
334 0.835000 1.000000240241
335 0.837500 1.000000237297
336 0.840000 1.000000232530
337 0.842500 1.000000226014
338 0.845000 1.000000217829
339 0.847500 1.000000208070
340 0.850000 1.000000196840
341 0.852500 1.000000184248
342 0.855000 1.000000170420
343 0.857500 1.000000155495
344 0.860000 1.000000139633
345 0.862500 1.000000123001
346 0.865000 1.000000105765
347 0.867500 1.000000088088
348 0.870000 1.000000070134
349 0.872500 1.000000052061
350 0.875000 1.000000034017
351 0.877500 1.000000016141
352 0.880000 0.999999998562
353 0.882500 0.999999981391
354 0.885000 0.999999964733
355 0.887500 0.999999948682
356 0.890000 0.999999933325
357 0.892500 0.999999918739
358 0.895000 0.999999904986
359 0.897500 0.999999892114
360 0.900000 0.999999880161
361 0.902500 0.999999869149
362 0.905000 0.999999859089
363 0.907500 0.999999849967
364 0.910000 0.999999841748
365 0.912500 0.999999834381
366 0.915000 0.999999827810
367 0.917500 0.999999821972
368 0.920000 0.999999816792
369 0.922500 0.999999812181
370 0.925000 0.999999808045
371 0.927500 0.999999804291
372 0.930000 0.999999800834
373 0.932500 0.999999797590
374 0.935000 0.999999794485
375 0.937500 0.999999791459
376 0.940000 0.999999788467
377 0.942500 0.999999785481
378 0.945000 0.999999782492
379 0.947500 0.999999779504
380 0.950000 0.999999776544
381 0.952500 0.999999773662
382 0.955000 0.999999770931
383 0.957500 0.999999768444
384 0.960000 0.999999766309
385 0.962500 0.999999764646
386 0.965000 0.999999763587
387 0.967500 0.999999763276
388 0.970000 0.999999763862
389 0.972500 0.999999765498
390 0.975000 0.999999768336
391 0.977500 0.999999772522
