x[3] y[3]
0.602809 0.602809
0.590830 0.590830
0.578779 0.578779
0.566657 0.566657
0.554467 0.554467
0.542211 0.542211
0.529891 0.529891
0.517510 0.517510
0.505071 0.505071
0.492576 0.492576
0.480027 0.480027
0.467428 0.467428
0.454780 0.454780
0.442088 0.442088
0.429353 0.429353
0.416579 0.416579
0.403769 0.403769
0.390925 0.390925
0.378050 0.378050
0.365148 0.365148
0.352221 0.352221
0.339273 0.339273
0.326306 0.326306
0.313324 0.313324
0.300330 0.300330
0.287327 0.287327
0.274318 0.274318
0.261307 0.261307
0.248296 0.248296
0.235289 0.235289
0.222290 0.222290
0.209300 0.209300
0.196324 0.196324
0.183364 0.183364
0.170425 0.170425
0.157509 0.157509
0.144619 0.144619
0.131759 0.131759
0.118931 0.118931
0.106140 0.106140
0.093388 0.093388
0.080679 0.080679
0.068015 0.068015
0.055401 0.055401
0.042838 0.042838
0.030331 0.030331
0.017882 0.017882
0.005495 0.005495
-0.006828 -0.006828
-0.019083 -0.019083
-0.031267 -0.031267
-0.043377 -0.043377
-0.055411 -0.055411
-0.067365 -0.067365
-0.079236 -0.079236
-0.091021 -0.091021
-0.102717 -0.102717
-0.114322 -0.114322
-0.125832 -0.125832
-0.137246 -0.137246
-0.148559 -0.148559
-0.159769 -0.159769
-0.170874 -0.170874
-0.181871 -0.181871
-0.192757 -0.192757
-0.203529 -0.203529
-0.214185 -0.214185
-0.224723 -0.224723
-0.235139 -0.235139
-0.245432 -0.245432
-0.255599 -0.255599
-0.265638 -0.265638
-0.275546 -0.275546
-0.285321 -0.285321
-0.294961 -0.294961
-0.304463 -0.304463
-0.313826 -0.313826
-0.323048 -0.323048
-0.332125 -0.332125
-0.341057 -0.341057
-0.349841 -0.349841
-0.358476 -0.358476
-0.366959 -0.366959
-0.375289 -0.375289
-0.383464 -0.383464
-0.391482 -0.391482
-0.399342 -0.399342
-0.407043 -0.407043
-0.414581 -0.414581
-0.421957 -0.421957
-0.429168 -0.429168
-0.436214 -0.436214
-0.443092 -0.443092
-0.449803 -0.449803
-0.456343 -0.456343
-0.462713 -0.462713
-0.468912 -0.468912
-0.474937 -0.474937
-0.480789 -0.480789
-0.486466 -0.486466
-0.491967 -0.491967
-0.497292 -0.497292
-0.502440 -0.502440
-0.507411 -0.507411
-0.512202 -0.512202
-0.516815 -0.516815
-0.521248 -0.521248
-0.525502 -0.525502
-0.529575 -0.529575
-0.533467 -0.533467
-0.537179 -0.537179
-0.540710 -0.540710
-0.544059 -0.544059
-0.547227 -0.547227
-0.550213 -0.550213
-0.553018 -0.553018
-0.555642 -0.555642
-0.558085 -0.558085
-0.560347 -0.560347
-0.562428 -0.562428
-0.564329 -0.564329
-0.566050 -0.566050
-0.567591 -0.567591
-0.568953 -0.568953
-0.570137 -0.570137
-0.571143 -0.571143
-0.571972 -0.571972
-0.572625 -0.572625
