x[11] y[11]
-0.690018 1.855224
-0.699804 1.853112
-0.709558 1.850987
-0.719281 1.848851
-0.728970 1.846704
-0.738627 1.844545
-0.748249 1.842376
-0.757837 1.840196
-0.767390 1.838007
-0.776906 1.835809
-0.786386 1.833601
-0.795829 1.831385
-0.805233 1.829161
-0.814599 1.826929
-0.823926 1.824690
-0.833213 1.822444
-0.842459 1.820193
-0.851665 1.817935
-0.860828 1.815673
-0.869949 1.813406
-0.879027 1.811134
-0.888062 1.808859
-0.897052 1.806581
-0.905997 1.804301
-0.914897 1.802019
-0.923751 1.799735
-0.932558 1.797451
-0.941318 1.795167
-0.950030 1.792883
-0.958693 1.790600
-0.967308 1.788320
-0.975873 1.786041
-0.984388 1.783766
-0.992852 1.781494
-1.001265 1.779227
-1.009626 1.776964
-1.017935 1.774708
-1.026191 1.772458
-1.034393 1.770215
-1.042541 1.767980
-1.050635 1.765754
-1.058673 1.763537
-1.066656 1.761330
-1.074583 1.759133
-1.082453 1.756949
-1.090266 1.754777
-1.098021 1.752617
-1.105717 1.750472
-1.113356 1.748341
-1.120934 1.746226
-1.128453 1.744127
-1.135912 1.742045
-1.143310 1.739981
-1.150647 1.737935
-1.157922 1.735909
-1.165135 1.733903
-1.172285 1.731919
-1.179372 1.729956
-1.186395 1.728016
-1.193354 1.726100
-1.200249 1.724208
-1.207078 1.722342
-1.213842 1.720501
-1.220540 1.718688
-1.227172 1.716903
-1.233737 1.715146
-1.240234 1.713420
-1.246664 1.711723
-1.253026 1.710058
-1.259319 1.708425
-1.265543 1.706826
-1.271698 1.705260
-1.277783 1.703729
-1.283798 1.702234
-1.289742 1.700775
-1.295615 1.699354
-1.301416 1.697971
-1.307146 1.696628
-1.312803 1.695324
-1.318388 1.694062
-1.323900 1.692841
-1.329338 1.691662
-1.334702 1.690528
-1.339993 1.689437
-1.345209 1.688392
-1.350350 1.687393
-1.355416 1.686441
-1.360406 1.685537
-1.365320 1.684681
-1.370158 1.683874
-1.374920 1.683118
-1.379604 1.682412
-1.384212 1.681759
-1.388741 1.681158
-1.393193 1.680610
-1.397567 1.680117
-1.401862 1.679679
-1.406078 1.679296
-1.410215 1.678970
-1.414273 1.678701
-1.418251 1.678490
-1.422149 1.678338
-1.425966 1.678246
-1.429703 1.678213
-1.433360 1.678241
-1.436935 1.678331
-1.440429 1.678483
-1.443841 1.678699
-1.447172 1.678977
-1.450420 1.679320
-1.453587 1.679728
-1.456670 1.680201
-1.459671 1.680740
-1.462589 1.681346
-1.465424 1.682019
-1.468176 1.682760
-1.470843 1.683569
-1.473427 1.684447
-1.475928 1.685394
-1.478344 1.686412
-1.480675 1.687500
-1.482923 1.688658
-1.485085 1.689888
-1.487163 1.691190
-1.489156 1.692564
-1.491064 1.694011
-1.492886 1.695531
-1.494623 1.697124
-1.496275 1.698791
-1.497841 1.700533
-1.499322 1.702348
-1.500716 1.704239
-1.502025 1.706204
-1.503248 1.708245
-1.504384 1.710362
-1.505435 1.712555
-1.506399 1.714823
-1.507277 1.717168
-1.508068 1.719590
-1.508773 1.722088
-1.509392 1.724663
-1.509924 1.727315
-1.510370 1.730044
-1.510729 1.732851
-1.511001 1.735734
-1.511187 1.738696
-1.511287 1.741734
-1.511299 1.744850
-1.511225 1.748044
-1.511065 1.751314
-1.510818 1.754663
-1.510484 1.758089
-1.510064 1.761592
-1.509558 1.765172
-1.508965 1.768830
-1.508285 1.772564
-1.507520 1.776376
-1.506668 1.780264
-1.505730 1.784229
-1.504706 1.788271
-1.503596 1.792388
-1.502400 1.796582
-1.501118 1.800851
-1.499750 1.805196
-1.498297 1.809617
-1.496758 1.814112
-1.495134 1.818682
-1.493425 1.823326
-1.491631 1.828044
-1.489752 1.832836
-1.487787 1.837701
-1.485739 1.842640
-1.483605 1.847650
-1.481387 1.852733
-1.479086 1.857888
-1.476700 1.863113
-1.474230 1.868410
-1.471677 1.873777
-1.469040 1.879214
-1.466320 1.884720
-1.463517 1.890295
-1.460630 1.895938
-1.457662 1.901649
-1.454611 1.907427
-1.451477 1.913272
-1.448262 1.919183
-1.444965 1.925159
-1.441586 1.931201
-1.438127 1.937306
-1.434586 1.943476
-1.430964 1.949708
-1.427262 1.956003
-1.423479 1.962359
-1.419617 1.968777
-1.415675 1.975254
-1.411653 1.981792
-1.407552 1.988389
-1.403372 1.995044
-1.399114 2.001756
