#le narma2 narma10 narma20 N M
-0.027566 0.000029 0.008574 0.003898 16 24
-0.022723 0.000031 0.009629 0.004150 16 24
-0.025208 0.000029 0.011658 0.004645 16 24
-0.007535 0.000033 0.015173 0.004794 16 24
0.002311 0.000046 0.015576 0.006039 16 24
-0.007435 0.000036 0.010648 0.003880 16 24
-0.008715 0.000027 0.011476 0.004145 16 24
-0.019019 0.000039 0.018078 0.004374 16 24
-0.008088 0.000025 0.012400 0.004122 16 24
-0.021886 0.000028 0.014267 0.004380 16 24
-0.007044 0.000024 0.014320 0.004249 16 24
-0.011505 0.000035 0.011185 0.003873 16 24
-0.017985 0.000051 0.012859 0.004407 16 24
-0.017135 0.000024 0.013124 0.004227 16 24
-0.039179 0.000041 0.012231 0.004265 16 24
0.003984 0.000027 0.012541 0.003921 16 24
-0.019258 0.000026 0.010572 0.004225 16 24
-0.021398 0.000024 0.010899 0.003960 16 24
-0.009460 0.000028 0.014454 0.003712 16 24
-0.023539 0.000032 0.011481 0.004170 16 24
-0.017618 0.000144 0.019470 0.005350 16 24
-0.002049 0.000036 0.016210 0.007620 16 24
-0.015324 0.000031 0.011646 0.003646 16 24
-0.008627 0.000041 0.013068 0.003909 16 24
0.002599 0.000028 0.012069 0.004428 16 24
-0.023732 0.000034 0.010466 0.003732 16 24
0.005514 0.000028 0.011693 0.004048 16 24
-0.015925 0.000035 0.010814 0.004476 16 24
-0.018787 0.000030 0.009817 0.003898 16 24
-0.002234 0.000028 0.010219 0.004131 16 24
-0.022948 0.000031 0.012356 0.004183 16 24
-0.035653 0.000032 0.012951 0.003751 16 24
-0.030671 0.000030 0.013296 0.004343 16 24
-0.009606 0.000056 0.011409 0.005280 16 24
-0.027328 0.000286 0.015377 0.007487 16 24
-0.013029 0.000036 0.011219 0.003522 16 24
-0.002947 0.000031 0.013368 0.004192 16 24
-0.043086 0.000028 0.011737 0.003965 16 24
-0.008424 0.000042 0.015078 0.004157 16 24
-0.028543 0.000030 0.010546 0.004126 16 24
-0.012955 0.000030 0.011085 0.003735 16 24
-0.019671 0.000029 0.014162 0.004410 16 24
-0.013862 0.000029 0.008717 0.003769 16 24
-0.021135 0.000027 0.011224 0.004107 16 24
-0.026359 0.000028 0.012294 0.004491 16 24
-0.002003 0.000029 0.012248 0.004116 16 24
-0.019166 0.000029 0.010952 0.004113 16 24
-0.035121 0.000028 0.010745 0.004229 16 24
0.000938 0.000029 0.011719 0.004337 16 24
-0.028155 0.000030 0.010114 0.004118 16 24
-0.013152 0.000030 0.016280 0.005903 16 24
-0.030770 0.000026 0.012079 0.004063 16 24
-0.010223 0.000039 0.010564 0.003968 16 24
-0.006789 0.000052 0.010957 0.004015 16 24
-0.006361 0.000038 0.009991 0.004023 16 24
-0.022819 0.000034 0.014513 0.003805 16 24
-0.018147 0.000030 0.011719 0.004542 16 24
-0.016096 0.000033 0.012166 0.003990 16 24
-0.016877 0.000046 0.010673 0.003843 16 24
-0.027222 0.000058 0.015254 0.004632 16 24
-0.010352 0.000032 0.016993 0.003942 16 24
-0.018423 0.000026 0.024468 0.006020 16 24
-0.014134 0.000032 0.008897 0.003963 16 24
-0.027431 0.000036 0.013675 0.004176 16 24
-0.024181 0.000028 0.010852 0.004073 16 24
-0.009785 0.000031 0.012878 0.004291 16 24
0.001429 0.000034 0.011825 0.004315 16 24
-0.024017 0.000032 0.013365 0.004287 16 24
-0.027667 0.000031 0.011323 0.004216 16 24
-0.014235 0.000066 0.016102 0.004343 16 24
-0.025845 0.000077 0.012711 0.007100 16 24
-0.007074 0.000030 0.009078 0.003826 16 24
-0.029020 0.000100 0.013346 0.007073 16 24
-0.004688 0.000028 0.012063 0.004291 16 24
-0.021091 0.000029 0.014046 0.003871 16 24
-0.032295 0.000028 0.011700 0.003339 16 24
-0.004120 0.000023 0.011218 0.004206 16 24
-0.006302 0.000032 0.012423 0.004115 16 24
-0.005172 0.000028 0.010398 0.003929 16 24
-0.000174 0.000025 0.010769 0.004271 16 24
-0.035868 0.000032 0.012364 0.004464 16 24
-0.030232 0.000025 0.011847 0.004186 16 24
-0.041894 0.000029 0.019124 0.003785 16 24
-0.024028 0.000032 0.012125 0.006008 16 24
-0.011914 0.000030 0.014001 0.003968 16 24
nan nan nan nan 84 112
nan nan nan nan 84 112
