# le narma2 narma10 narma20 N M k_b k_t g_b g_t
-0.172099 1.000000 196181757931141419344125990719300601655604602208256.000000 1.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.183822 0.000041 0.010538 0.003786 49 84 100.000000 3000.000000 0.000100 0.001000
-0.311921 0.000041 0.008276 0.002743 49 84 100.000000 3000.000000 0.000100 0.001000
-0.333358 0.000045 0.014898 0.006664 49 84 100.000000 3000.000000 0.000100 0.001000
-0.383012 0.000054 0.014775 0.005022 49 84 100.000000 3000.000000 0.000100 0.001000
-0.166741 0.000080 0.008274 0.004432 49 84 100.000000 3000.000000 0.000100 0.001000
-0.228357 0.000065 0.016141 0.007438 49 84 100.000000 3000.000000 0.000100 0.001000
-0.284375 640649263734068717427996803264704852503680753074176.000000 1.000000 1.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.177559 1.000000 3214241921943821014534160231945021057525425802580066304.000000 36084054728930126341773181135397657518077990458621952.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.202205 0.000103 0.012611 0.005301 49 84 100.000000 3000.000000 0.000100 0.001000
-0.317204 0.000107 0.008122 0.003330 49 84 100.000000 3000.000000 0.000100 0.001000
-0.321159 0.000047 0.007921 0.003626 49 84 100.000000 3000.000000 0.000100 0.001000
-0.435764 0.000060 0.009994 0.004606 49 84 100.000000 3000.000000 0.000100 0.001000
-0.206320 0.000035 0.012097 0.003993 49 84 100.000000 3000.000000 0.000100 0.001000
-0.226995 1.000000 1.000000 152591033471291086438651430531907135340777245774697709549986148274290676348223488.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.265681 1.000000 19703245650572440414445400355211840407642522897051035961331093535267669607747085194128378177275966702554710016.000000 3235109406900208950321114658538655992981649243257260014869872023297418651483299107111114509498360700938565451776.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.280253 0.000053 0.008889 0.004102 49 84 100.000000 3000.000000 0.000100 0.001000
-0.336767 0.000067 0.012532 0.003941 49 84 100.000000 3000.000000 0.000100 0.001000
-0.177749 640649263734068717427996803264704852503680753074176.000000 1.000000 1.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.271767 1.000000 1.000000 1.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.350493 0.000056 0.010683 0.004313 49 84 100.000000 3000.000000 0.000100 0.001000
-0.277801 0.000055 0.013220 0.004961 49 84 100.000000 3000.000000 0.000100 0.001000
-0.313306 3248477694833061792480642695786005435755824193743598484480430503754867140359880704.000000 3979038771123849985818054911916991684449140063909176427514522919788066609452548096.000000 1.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.449716 0.000048 0.008275 0.003700 49 84 100.000000 3000.000000 0.000100 0.001000
-0.247486 0.000048 0.009761 0.004485 49 84 100.000000 3000.000000 0.000100 0.001000
-0.212946 0.000045 0.005640 0.002111 49 84 100.000000 3000.000000 0.000100 0.001000
-0.181506 1.000000 248689923195240624113628431994811980278071253994323526719657682486754163090784256.000000 1.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.111408 0.000054 0.007791 0.003487 49 84 100.000000 3000.000000 0.000100 0.001000
